Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
transfer,50,0,71.8,8.35,7.72,8.04,5.9,transfer_report_70_20251110-221454,70
transfer,50,0,71.4,5.74,5.18,5.44,8.5,transfer_report_70_20251110-220335,70
transfer,50,0,71.7,10.34,9.67,10.00,4.8,transfer_report_70_20251110-223554,70
transfer,50,0,71.8,1.82,1.15,1.49,27.1,transfer_report_70_20251110-222557,70
transfer,50,0,81.8,2.21,1.72,1.97,21.5,transfer_report_80_20251110-220417,80
transfer,50,0,81.3,3.41,2.82,3.12,14.5,transfer_report_80_20251110-222621,80
transfer,50,0,81.8,3.18,2.58,2.87,15.7,transfer_report_80_20251110-221526,80
transfer,50,0,82.5,3.33,2.72,3.03,15.0,transfer_report_80_20251110-223626,80
transfer,50,0,92.4,3.41,2.91,3.16,14.5,transfer_report_90_20251110-221551,90
transfer,50,0,92.4,3.12,2.61,2.86,15.9,transfer_report_90_20251110-220441,90
transfer,50,0,92.3,3.39,2.86,3.13,14.7,transfer_report_90_20251110-222646,90
transfer,50,0,91.6,3.21,2.67,2.94,15.5,transfer_report_90_20251110-223651,90
transfer,50,0,102.7,3.38,2.92,3.16,14.7,transfer_report_100_20251110-222711,100
transfer,50,0,102.9,3.28,2.81,3.04,15.2,transfer_report_100_20251110-223716,100
transfer,50,0,102.9,3.32,2.93,3.12,14.6,transfer_report_100_20251110-220506,100
transfer,50,0,102.7,3.26,2.79,3.01,15.3,transfer_report_100_20251110-221616,100
transfer,50,0,113.1,3.30,2.86,3.08,15.1,transfer_report_110_20251110-221641,110
transfer,50,0,113.1,13.19,12.79,12.99,3.8,transfer_report_110_20251110-220531,110
transfer,50,0,112.6,3.02,2.59,2.80,16.5,transfer_report_110_20251110-223741,110
transfer,50,0,113.1,3.33,2.94,3.12,14.8,transfer_report_110_20251110-222736,110
