Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB],Memory(max) [MB],Memory(avg) [MB],Disc Read [KB]
/node-besu6,0.20125,0.08875,0.618,0.618,0.00,0.00,1.04,0.00,open_report_60_20251110-220606,60,,,,
/node-besu2,0.19375,0.09875,0.745,0.745,0.00,0.00,,0.00,open_report_60_20251110-223806,60,924,,,
/node-besu4,0.20125,0.10375,0.762,0.762,0.00,0.00,,0.00,open_report_60_20251110-223806,60,340,,,
/node-besu3,0.21,0.11125,0.708,0.708,0.00,0.00,,0.00,open_report_60_20251110-223806,60,180,,,
/node-besu1,1.81375,0.44875,1.39,1.38,0.00,0.00,,0.00,open_report_60_20251110-223806,60,16.0,,,
/node-besu6,1.125,0.48625,,,0.00,0.00,1.10,,open_report_60_20251110-215304,60,,624,608,116
/node-besu2,0.89,0.42875,,,0.00,0.00,1.57,,open_report_60_20251110-215304,60,,649,638,36.0
/node-besu4,1.06125,0.5325,,,0.00,0.00,1.13,,open_report_60_20251110-215304,60,,812,696,36.0
/node-besu5,0.0275,0.0125,0.619,0.619,0.00,0.00,,0.00,open_report_60_20251110-223806,60,16.0,,,
/node-besu3,0.81875,0.37,,,0.00,0.00,0.637,,open_report_60_20251110-215304,60,,619,601,36.0
/node-besu5,0.015,0.01125,0.614,0.614,0.00,0.00,0.0664,0.00,open_report_60_20251110-220606,60,,,,
/node-besu1,0.44375,0.235,,,0.00,0.00,1.20,0.00,open_report_60_20251110-222801,60,,898,898,
/node-besu3,0.62375,0.2225,,,0.00,0.00,0.531,0.00,open_report_60_20251110-222801,60,,718,718,
/node-besu4,0.41875,0.21625,,,0.00,0.00,0.191,0.00,open_report_60_20251110-222801,60,,736,736,
/node-besu2,0.2425,0.135,,,0.00,0.00,0.824,0.00,open_report_60_20251110-222801,60,,788,788,
/node-besu5,0.03,0.01625,,,0.00,0.00,0.0156,0.00,open_report_60_20251110-222801,60,,633,633,
/node-besu6,0.26625,0.14125,,,0.00,0.00,0.871,0.00,open_report_60_20251110-222801,60,,686,685,
/node-besu1,3.4575,0.8725,,,0.00,0.00,0.875,,open_report_60_20251110-215304,60,,896,687,116
/node-besu6,0.21875,0.1175,0.672,0.672,0.00,0.00,,0.00,open_report_60_20251110-223806,60,252,,,
/node-besu5,1.52125,0.3575,,,0.00,0.00,0.582,,open_report_60_20251110-215304,60,,629,614,160
/node-besu6,0.31375,0.13875,0.633,0.633,0.00,0.00,0.344,0.00,open_report_60_20251110-221706,60,,,,
/node-besu1,0.56,0.185,1.72,1.72,0.00,0.00,0.699,0.00,open_report_60_20251110-220606,60,,,,
/node-besu3,0.50375,0.155,0.610,0.610,0.00,0.00,0.777,0.00,open_report_60_20251110-220606,60,,,,
/node-besu4,0.2375,0.0975,1.26,0.871,0.00,0.00,0.738,0.00,open_report_60_20251110-220606,60,,,,
/node-besu2,0.23375,0.09375,0.880,0.880,0.00,0.00,0.949,0.00,open_report_60_20251110-220606,60,,,,
/node-besu3,0.335,0.13,0.618,0.618,0.00,0.00,1.16,0.00,open_report_60_20251110-221706,60,,,,
/node-besu4,0.36125,0.1525,0.689,0.689,0.00,0.00,0.180,0.00,open_report_60_20251110-221706,60,,,,
/node-besu2,0.26875,0.13125,1.08,1.08,0.00,0.00,0.145,0.00,open_report_60_20251110-221706,60,,,,
/node-besu5,0.01875,0.0125,0.616,0.616,0.00,0.00,0.0547,0.00,open_report_60_20251110-221706,60,,,,
/node-besu1,1.8,0.47,1.73,1.73,0.00,0.00,0.113,0.00,open_report_60_20251110-221706,60,,,,
