Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,60.1,15.69,0.76,5.85,34.8,open_report_60_20251110-220606,60
open,1000,0,60.1,16.20,0.53,8.89,47.4,open_report_60_20251110-221706,60
open,1000,0,60.1,16.70,0.69,9.54,46.4,open_report_60_20251110-223806,60
open,1000,0,57.2,28.57,16.85,24.08,25.6,open_report_60_20251110-215304,60
open,1000,0,60.1,5.66,0.75,3.21,53.3,open_report_60_20251110-222801,60
open,1000,0,79.5,6.09,0.47,3.48,57.8,open_report_80_20251110-220656,80
open,1000,0,80.1,15.30,0.18,5.54,39.0,open_report_80_20251110-221749,80
open,1000,0,80.1,15.74,1.45,6.95,40.7,open_report_80_20251110-223850,80
open,1000,0,80.1,15.60,0.70,7.12,42.1,open_report_80_20251110-222841,80
open,1000,0,62.8,18.73,0.41,11.35,35.5,open_report_80_20251110-215420,80
open,1000,0,38.1,20.09,5.85,12.55,29.8,open_report_100_20251110-215511,100
open,1000,0,51.7,7.47,0.17,4.67,47.9,open_report_100_20251110-223937,100
open,1000,0,37.8,7.63,1.73,4.37,35.4,open_report_100_20251110-221836,100
open,1000,0,90.5,9.86,2.56,6.30,73.5,open_report_100_20251110-220736,100
open,1000,0,100.1,6.02,0.79,3.59,75.8,open_report_100_20251110-222927,100
open,1000,0,48.5,7.02,2.23,4.43,41.8,open_report_120_20251110-221926,120
open,1000,0,112.7,6.30,0.77,3.66,80.8,open_report_120_20251110-220811,120
open,1000,0,116.1,6.33,0.67,3.86,83.4,open_report_120_20251110-223002,120
open,1000,0,29.0,18.22,2.11,10.37,27.3,open_report_120_20251110-215606,120
open,1000,0,140.2,14.90,10.14,12.59,57.9,open_report_140_20251110-220846,140
open,1000,0,41.9,36.36,3.44,21.38,26.0,open_report_140_20251110-215708,140
open,1000,0,140.2,14.13,9.39,11.91,60.5,open_report_140_20251110-223051,140
open,1000,0,63.2,17.41,3.45,9.77,40.7,open_report_140_20251110-222031,140
open,1000,0,137.7,6.87,2.83,4.38,98.6,open_report_160_20251110-220940,160
open,1000,0,138.6,7.13,2.99,4.31,98.0,open_report_160_20251110-223130,160
open,1000,0,41.4,17.24,6.07,12.30,32.1,open_report_160_20251110-215814,160
open,1000,0,67.9,18.17,2.43,10.52,40.6,open_report_160_20251110-222120,160
open,1000,0,103.6,21.61,15.75,19.97,37.4,open_report_180_20251110-221012,180
open,1000,0,110.6,7.09,1.96,4.42,77.5,open_report_180_20251110-222211,180
open,1000,0,50.8,22.98,1.79,10.55,34.2,open_report_180_20251110-215928,180
open,1000,0,179.6,14.74,11.18,12.86,59.7,open_report_180_20251110-223202,180
