Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB],Disc Read [KB]
/node-besu4,0.0475,0.0325,0.792,0.792,0.00,0.00,136,0.00,query_report_100_20251110-223240,100,,
/node-besu5,0.0475,0.02125,0.615,0.615,0.00,0.00,24.0,0.00,query_report_100_20251110-221101,100,,
/node-besu3,0.035,0.03,0.713,0.713,0.00,0.00,,0.00,query_report_100_20251110-222246,100,0.0859,
/node-besu3,0.035,0.0275,1.27,1.27,0.00,0.00,104,,query_report_100_20251110-220024,100,,0.00
/node-besu4,0.02625,0.01875,1.25,1.25,0.00,0.00,108,,query_report_100_20251110-220024,100,,0.00
/node-besu2,0.02875,0.02125,0.879,0.879,0.00,0.00,0.00,,query_report_100_20251110-220024,100,,0.00
/node-besu5,0.0125,0.01125,0.610,0.610,0.00,0.00,28.0,,query_report_100_20251110-220024,100,,0.00
/node-besu6,0.02375,0.01875,0.648,0.639,0.00,0.00,168,,query_report_100_20251110-220024,100,,0.00
/node-besu2,0.0275,0.0225,1.08,1.08,0.00,0.00,20.0,0.00,query_report_100_20251110-221101,100,,
/node-besu6,0.0325,0.03125,0.670,0.670,0.00,0.00,140,0.00,query_report_100_20251110-223240,100,,
/node-besu2,0.05375,0.03125,0.744,0.744,0.00,0.00,144,0.00,query_report_100_20251110-223240,100,,
/node-besu3,0.06625,0.04625,0.703,0.703,0.00,0.00,140,0.00,query_report_100_20251110-223240,100,,
/node-besu1,0.16,0.07125,1.38,1.38,0.00,0.00,404,0.00,query_report_100_20251110-223240,100,,
/node-besu6,0.0275,0.0275,0.667,0.667,0.00,0.00,,0.00,query_report_100_20251110-222246,100,0.105,
/node-besu5,0.03375,0.0225,0.617,0.617,0.00,0.00,,0.00,query_report_100_20251110-222246,100,0.00,
/node-besu2,0.04875,0.04125,1.08,1.08,0.00,0.00,,0.00,query_report_100_20251110-222246,100,0.00,
/node-besu4,0.0425,0.035,0.718,0.718,0.00,0.00,,0.00,query_report_100_20251110-222246,100,0.520,
/node-besu5,0.01625,0.0125,0.619,0.619,0.00,0.00,16.0,0.00,query_report_100_20251110-223240,100,,
/node-besu4,0.02875,0.02,0.689,0.689,0.00,0.00,80.0,0.00,query_report_100_20251110-221101,100,,
/node-besu6,0.02125,0.0175,0.784,0.784,0.00,0.00,72.0,0.00,query_report_100_20251110-221101,100,,
/node-besu1,0.115,0.06125,1.73,1.73,0.00,0.00,664,0.00,query_report_100_20251110-221101,100,,
/node-besu3,0.01625,0.01625,0.617,0.617,0.00,0.00,0.00,0.00,query_report_100_20251110-221101,100,,
/node-besu1,0.195,0.09125,1.73,1.21,0.00,0.00,,0.00,query_report_100_20251110-222246,100,1.31,
