Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251110-221101,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251110-222246,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251110-223240,100
query,1000,0,100.1,0.13,0.00,0.00,100.1,query_report_100_20251110-220024,100
query,1000,0,200.4,0.00,0.00,0.00,200.3,query_report_200_20251110-223312,200
query,1000,0,200.5,0.03,0.00,0.00,200.5,query_report_200_20251110-220102,200
query,1000,0,200.4,0.02,0.00,0.00,200.3,query_report_200_20251110-221138,200
query,1000,0,200.3,0.02,0.00,0.00,200.2,query_report_200_20251110-222318,200
query,1000,0,300.6,0.00,0.00,0.00,300.5,query_report_300_20251110-223339,300
query,1000,0,300.8,0.01,0.00,0.00,300.7,query_report_300_20251110-220134,300
query,1000,0,300.6,0.01,0.00,0.00,300.5,query_report_300_20251110-222345,300
query,1000,0,300.6,0.01,0.00,0.00,300.6,query_report_300_20251110-221212,300
query,1000,0,401.0,0.01,0.00,0.00,401.0,query_report_400_20251110-222410,400
query,1000,0,401.0,0.01,0.00,0.00,400.8,query_report_400_20251110-223404,400
query,1000,0,401.1,0.02,0.00,0.00,401.1,query_report_400_20251110-221242,400
query,1000,0,401.0,0.01,0.00,0.00,400.8,query_report_400_20251110-220159,400
query,1000,0,500.5,0.01,0.00,0.00,500.3,query_report_500_20251110-221312,500
query,1000,0,501.5,0.01,0.00,0.00,501.3,query_report_500_20251110-223429,500
query,1000,0,501.0,0.02,0.00,0.00,500.5,query_report_500_20251110-222434,500
query,1000,0,501.3,0.01,0.00,0.00,501.0,query_report_500_20251110-220224,500
query,1000,0,601.3,0.01,0.00,0.00,601.0,query_report_600_20251110-221341,600
query,1000,0,601.3,0.00,0.00,0.00,601.0,query_report_600_20251110-222511,600
query,1000,0,601.7,0.02,0.00,0.00,601.3,query_report_600_20251110-220248,600
query,1000,0,598.4,0.02,0.00,0.00,598.4,query_report_600_20251110-223453,600
query,1000,0,702.2,0.01,0.00,0.00,701.8,query_report_700_20251110-220311,700
query,1000,0,704.2,0.01,0.00,0.00,704.2,query_report_700_20251110-223516,700
query,1000,0,703.2,0.01,0.00,0.00,702.7,query_report_700_20251110-222534,700
query,1000,0,688.7,0.01,0.00,0.00,688.7,query_report_700_20251110-221410,700
